Nombre de nœuds,Temps de recherche (secondes)
914,0.000001
915,0.000001
916,0.000003
917,0.000002
918,0.000002
919,0.000002
920,0.000002
921,0.000002
922,0.000003
923,0.000002
924,0.000003
925,0.000003
926,0.000003
927,0.000002
928,0.000002
929,0.000001
930,0.000003
931,0.000003
932,0.000002
933,0.000001
934,0.000002
935,0.000003
936,0.000002
937,0.000002
938,0.000001
939,0.000002
940,0.000003
941,0.000002
942,0.000002
943,0.000002
944,0.000002
945,0.000002
946,0.000002
947,0.000002
948,0.000002
949,0.000002
950,0.000003
951,0.000003
952,0.000003
953,0.000003
954,0.000005
955,0.000005
956,0.000006
957,0.000004
958,0.000004
959,0.000004
960,0.000013
961,0.000004
962,0.000004
963,0.000004
964,0.000001
965,0.000003
966,0.000003
967,0.000003
968,0.000002
969,0.000003
970,0.000002
971,0.000003
972,0.000002
973,0.000002
974,0.000002
975,0.000003
976,0.000002
977,0.000003
978,0.000002
979,0.000001
980,0.000004
981,0.000004
982,0.000009
983,0.000004
984,0.000003
985,0.000005
986,0.000003
987,0.000002
988,0.000002
989,0.000002
990,0.000002
991,0.000002
992,0.000002
993,0.000002
994,0.000003
995,0.000004
996,0.000003
997,0.000003
998,0.000003
999,0.000001
1000,0.000002
