Nombre de nœuds,Temps d'insertion (secondes)
240,0.000029
241,0.000024
242,0.000018
243,0.000017
244,0.000012
245,0.000029
246,0.000126
247,0.000043
248,0.000025
249,0.000014
250,0.000014
251,0.000022
252,0.000018
253,0.000020
254,0.000025
255,0.000016
256,0.000008
257,0.000011
258,0.000021
259,0.000008
260,0.000008
261,0.000006
262,0.000007
263,0.000014
264,0.000012
265,0.000026
266,0.000008
267,0.000006
268,0.000015
269,0.000022
270,0.000014
271,0.000014
272,0.000021
273,0.000018
274,0.000016
275,0.000017
276,0.000015
277,0.000013
278,0.000011
279,0.000014
280,0.000007
281,0.000021
282,0.000016
283,0.000022
284,0.000014
285,0.000023
286,0.000009
287,0.000007
288,0.000008
289,0.000007
290,0.000009
291,0.000005
292,0.000008
293,0.000011
294,0.000016
295,0.000017
296,0.000007
297,0.000008
298,0.000009
299,0.000022
300,0.000013
301,0.000024
302,0.000011
303,0.000019
304,0.000012
305,0.000014
306,0.000016
307,0.000019
308,0.000017
309,0.000017
310,0.000010
311,0.000014
312,0.000009
313,0.000010
314,0.000007
315,0.000008
316,0.000018
317,0.000020
318,0.000018
319,0.000020
320,0.000016
321,0.000013
322,0.000018
323,0.000019
324,0.000008
325,0.000009
326,0.000009
327,0.000006
328,0.000005
329,0.000010
330,0.000008
331,0.000009
332,0.000015
333,0.000005
334,0.000008
335,0.000017
336,0.000010
337,0.000021
338,0.000026
339,0.000017
340,0.000019
341,0.000011
342,0.000009
343,0.000006
344,0.000006
345,0.000006
346,0.000007
347,0.000005
348,0.000013
349,0.000017
350,0.000009
351,0.000008
352,0.000011
353,0.000016
354,0.000020
355,0.000018
356,0.000020
357,0.000014
358,0.000011
359,0.000014
360,0.000020
361,0.000015
362,0.000014
363,0.000012
364,0.000008
365,0.000016
366,0.000015
367,0.000012
368,0.000007
369,0.000014
370,0.000012
371,0.000014
372,0.000017
373,0.000018
374,0.000019
375,0.000011
376,0.000014
377,0.000009
378,0.000009
379,0.000007
380,0.000013
381,0.000009
382,0.000007
383,0.000008
384,0.000007
385,0.000010
386,0.000021
387,0.000021
388,0.000018
389,0.000016
390,0.000013
391,0.000009
392,0.000008
393,0.000009
394,0.000010
395,0.000009
396,0.000009
397,0.000011
398,0.000010
399,0.000009
400,0.000009
401,0.000010
402,0.000011
403,0.000008
404,0.000009
405,0.000009
406,0.000010
407,0.000009
408,0.000009
409,0.000009
410,0.000011
411,0.000021
412,0.000005
413,0.000006
414,0.000006
415,0.000009
416,0.000011
417,0.000009
418,0.000009
419,0.000011
420,0.000009
421,0.000009
422,0.000009
423,0.000009
424,0.000010
425,0.000009
426,0.000009
427,0.000009
428,0.000009
429,0.000009
430,0.000008
431,0.000012
432,0.000012
433,0.000011
434,0.000007
435,0.000008
436,0.000007
437,0.000008
438,0.000009
439,0.000010
440,0.000008
441,0.000007
442,0.000005
443,0.000006
444,0.000005
445,0.000008
446,0.000013
447,0.000009
448,0.000005
449,0.000005
450,0.000012
451,0.000011
452,0.000017
453,0.000009
454,0.000009
455,0.000015
456,0.000011
457,0.000013
458,0.000021
459,0.000017
460,0.000020
461,0.000011
462,0.000010
463,0.000015
464,0.000026
465,0.000028
466,0.000026
467,0.000024
468,0.000027
469,0.000009
470,0.000013
471,0.000008
472,0.000008
473,0.000010
474,0.000026
475,0.000028
476,0.000024
477,0.000025
478,0.000025
479,0.000020
480,0.000017
481,0.000017
482,0.000012
483,0.000020
484,0.000011
485,0.000010
486,0.000023
487,0.000010
488,0.000009
489,0.000023
490,0.000021
491,0.000010
492,0.000009
493,0.000007
494,0.000021
495,0.000015
496,0.000010
497,0.000011
498,0.000005
499,0.000005
500,0.000021
501,0.000017
502,0.000014
503,0.000013
504,0.000021
505,0.000016
506,0.000022
507,0.000017
508,0.000010
509,0.000014
510,0.000012
511,0.000022
512,0.000016
513,0.000021
514,0.000015
515,0.000011
516,0.000016
517,0.000013
518,0.000022
519,0.000021
520,0.000015
521,0.000021
522,0.000022
523,0.000017
524,0.000011
525,0.000018
526,0.000014
527,0.000021
528,0.000017
529,0.000022
530,0.000020
531,0.000013
532,0.000013
533,0.000010
534,0.000008
535,0.000009
536,0.000010
537,0.000021
538,0.000028
539,0.000017
540,0.000023
541,0.000124
542,0.000033
543,0.000014
544,0.000021
545,0.000008
546,0.000020
547,0.000021
548,0.000023
549,0.000024
550,0.000012
551,0.000010
552,0.000007
553,0.000013
554,0.000013
555,0.000006
556,0.000008
557,0.000010
558,0.000021
559,0.000015
560,0.000010
561,0.000016
562,0.000021
563,0.000017
564,0.000022
565,0.000015
566,0.000021
567,0.000016
568,0.000022
569,0.000014
570,0.000016
571,0.000008
572,0.000012
573,0.000010
574,0.000011
575,0.000014
576,0.000008
577,0.000012
578,0.000013
579,0.000012
580,0.000011
581,0.000007
582,0.000022
583,0.000016
584,0.000022
585,0.000017
586,0.000011
587,0.000007
588,0.000011
589,0.000007
590,0.000007
591,0.000022
592,0.000016
593,0.000021
594,0.000014
595,0.000014
596,0.000017
597,0.000008
598,0.000011
599,0.000008
600,0.000006
601,0.000015
602,0.000026
603,0.000020
604,0.000022
605,0.000018
606,0.000015
607,0.000014
608,0.000028
609,0.000012
610,0.000016
611,0.000022
612,0.000017
613,0.000020
614,0.000013
615,0.000012
616,0.000019
617,0.000020
618,0.000013
619,0.000021
620,0.000017
621,0.000019
622,0.000011
623,0.000007
624,0.000013
625,0.000016
626,0.000021
627,0.000017
628,0.000022
629,0.000016
630,0.000025
631,0.000009
632,0.000010
633,0.000010
634,0.000013
635,0.000008
636,0.000008
637,0.000009
638,0.000009
639,0.000009
640,0.000014
641,0.000006
642,0.000007
643,0.000005
644,0.000013
645,0.000009
646,0.000009
647,0.000009
648,0.000009
649,0.000009
650,0.000009
651,0.000009
652,0.000009
653,0.000009
654,0.000010
655,0.000010
656,0.000009
657,0.000023
658,0.000017
659,0.000037
660,0.000014
661,0.000013
662,0.000013
663,0.000008
664,0.000026
665,0.000012
666,0.000012
667,0.000012
668,0.000021
669,0.000020
670,0.000013
671,0.000018
672,0.000009
673,0.000022
674,0.000020
675,0.000012
676,0.000017
677,0.000028
678,0.000023
679,0.000016
680,0.000015
681,0.000009
682,0.000010
683,0.000008
684,0.000007
685,0.000007
686,0.000010
687,0.000010
688,0.000009
689,0.000013
690,0.000013
691,0.000008
692,0.000016
693,0.000015
694,0.000017
695,0.000018
696,0.000010
697,0.000013
698,0.000011
699,0.000014
700,0.000013
701,0.000019
702,0.000023
703,0.000018
704,0.000018
705,0.000019
706,0.000018
707,0.000024
708,0.000038
709,0.000024
710,0.000015
711,0.000009
712,0.000019
713,0.000029
714,0.000023
715,0.000012
716,0.000027
717,0.000013
718,0.000022
719,0.000014
720,0.000024
721,0.000017
722,0.000016
723,0.000017
724,0.000021
725,0.000009
726,0.000006
727,0.000026
728,0.000011
729,0.000008
730,0.000013
731,0.000017
732,0.000025
733,0.000022
734,0.000021
735,0.000019
736,0.000022
737,0.000012
738,0.000019
739,0.000014
740,0.000006
741,0.000007
742,0.000008
743,0.000017
744,0.000014
745,0.000012
746,0.000013
747,0.000015
748,0.000017
749,0.000014
750,0.000009
751,0.000008
752,0.000028
753,0.000019
754,0.000018
755,0.000019
756,0.000020
757,0.000016
758,0.000012
759,0.000007
760,0.000013
761,0.000019
762,0.000012
763,0.000014
764,0.000013
765,0.000008
766,0.000006
767,0.000010
768,0.000017
769,0.000021
770,0.000019
771,0.000016
772,0.000010
773,0.000019
774,0.000015
775,0.000018
776,0.000024
777,0.000017
778,0.000021
779,0.000016
780,0.000011
781,0.000010
782,0.000020
783,0.000016
784,0.000017
785,0.000007
786,0.000016
787,0.000016
788,0.000015
789,0.000008
790,0.000015
791,0.000012
792,0.000012
793,0.000011
794,0.000018
795,0.000014
796,0.000006
797,0.000008
798,0.000015
799,0.000008
800,0.000007
801,0.000010
802,0.000014
803,0.000012
804,0.000008
805,0.000009
806,0.000006
807,0.000008
808,0.000010
809,0.000011
810,0.000008
811,0.000020
812,0.000016
813,0.000017
814,0.000018
815,0.000018
816,0.000007
817,0.000005
818,0.000011
819,0.000013
820,0.000018
821,0.000014
822,0.000011
823,0.000013
824,0.000012
825,0.000022
826,0.000012
827,0.000014
828,0.000010
829,0.000014
830,0.000010
831,0.000015
832,0.000022
833,0.000017
834,0.000021
835,0.000018
836,0.000015
837,0.000016
838,0.000011
839,0.000014
840,0.000019
841,0.000011
842,0.000011
843,0.000012
844,0.000008
845,0.000013
846,0.000021
847,0.000015
848,0.000016
849,0.000017
850,0.000015
851,0.000021
852,0.000018
853,0.000015
854,0.000009
855,0.000013
856,0.000011
857,0.000016
858,0.000009
859,0.000007
860,0.000006
861,0.000006
862,0.000007
863,0.000006
864,0.000010
865,0.000021
866,0.000011
867,0.000009
868,0.000009
869,0.000009
870,0.000011
871,0.000009
872,0.000009
873,0.000011
874,0.000009
875,0.000009
876,0.000010
877,0.000009
878,0.000009
879,0.000009
880,0.000010
881,0.000010
882,0.000009
883,0.000010
884,0.000010
885,0.000009
886,0.000009
887,0.000009
888,0.000011
889,0.000009
890,0.000009
891,0.000010
892,0.000012
893,0.000011
894,0.000021
895,0.000011
896,0.000012
897,0.000008
898,0.000006
899,0.000005
900,0.000006
901,0.000005
902,0.000006
903,0.000007
904,0.000011
905,0.000019
906,0.000006
907,0.000005
908,0.000010
909,0.000005
910,0.000024
911,0.000020
912,0.000022
913,0.000012
914,0.000010
915,0.000016
916,0.000011
917,0.000007
918,0.000008
919,0.000006
920,0.000007
921,0.000017
922,0.000015
923,0.000021
924,0.000015
925,0.000011
926,0.000011
927,0.000006
928,0.000007
929,0.000012
930,0.000018
931,0.000015
932,0.000020
933,0.000015
934,0.000008
935,0.000031
936,0.000009
937,0.000013
938,0.000017
939,0.000015
940,0.000019
941,0.000017
942,0.000015
943,0.000017
944,0.000013
945,0.000019
946,0.000029
947,0.000006
948,0.000011
949,0.000019
950,0.000016
951,0.000010
952,0.000013
953,0.000011
954,0.000013
955,0.000016
956,0.000015
957,0.000008
958,0.000008
959,0.000037
960,0.000008
961,0.000009
962,0.000008
963,0.000009
964,0.000014
965,0.000016
966,0.000019
967,0.000013
968,0.000015
969,0.000015
970,0.000010
971,0.000017
972,0.000011
973,0.000010
974,0.000007
975,0.000017
976,0.000010
977,0.000007
978,0.000018
979,0.000012
980,0.000010
981,0.000010
982,0.000013
983,0.000019
984,0.000015
985,0.000007
986,0.000012
987,0.000018
988,0.000017
989,0.000024
990,0.000016
991,0.000014
992,0.000019
993,0.000013
994,0.000021
995,0.000019
996,0.000018
997,0.000018
998,0.000016
999,0.000007
1000,0.000024
